population,response,percentage
b_cell,yes,10.8848
b_cell,yes,18.0412
b_cell,yes,5.1332
b_cell,yes,20.0081
b_cell,yes,11.7520
b_cell,yes,5.0170
b_cell,yes,6.2208
b_cell,yes,9.0980
b_cell,yes,11.0913
b_cell,yes,13.6302
b_cell,yes,10.5180
b_cell,yes,7.9157
b_cell,yes,13.6363
b_cell,yes,9.7242
b_cell,yes,5.7875
b_cell,yes,17.1872
b_cell,yes,4.9751
b_cell,yes,6.3752
b_cell,yes,14.0925
b_cell,yes,9.4195
b_cell,yes,8.9330
b_cell,yes,6.5951
b_cell,yes,8.8934
b_cell,yes,8.4578
b_cell,yes,5.9503
b_cell,yes,7.7786
b_cell,yes,5.3401
b_cell,yes,7.7555
b_cell,yes,11.7366
b_cell,yes,13.2439
b_cell,yes,7.5942
b_cell,yes,10.0097
b_cell,yes,7.2071
b_cell,yes,6.1677
b_cell,yes,10.6498
b_cell,yes,12.0582
b_cell,yes,14.7201
b_cell,yes,9.4611
b_cell,yes,5.6037
b_cell,yes,8.6471
b_cell,yes,10.9926
b_cell,yes,13.8338
b_cell,yes,5.8470
b_cell,yes,6.6108
b_cell,yes,6.4217
b_cell,yes,11.4408
b_cell,yes,11.6044
b_cell,yes,8.3154
b_cell,yes,7.8821
b_cell,yes,12.0076
b_cell,yes,11.4433
b_cell,yes,10.8683
b_cell,yes,12.0021
b_cell,yes,8.1211
b_cell,yes,11.0537
b_cell,yes,11.2209
b_cell,yes,10.5710
b_cell,yes,7.9059
b_cell,yes,9.5130
b_cell,yes,11.3503
b_cell,yes,6.0072
b_cell,yes,15.7478
b_cell,yes,7.1039
b_cell,yes,12.8001
b_cell,yes,8.2082
b_cell,yes,15.3452
b_cell,yes,3.9767
b_cell,yes,12.0206
b_cell,yes,5.8922
b_cell,yes,4.9134
b_cell,yes,16.1490
b_cell,yes,15.2011
b_cell,yes,11.0912
b_cell,yes,14.4910
b_cell,yes,14.7156
b_cell,yes,9.8901
b_cell,yes,5.8297
b_cell,yes,8.8956
b_cell,yes,6.3171
b_cell,yes,6.4340
b_cell,yes,5.7104
b_cell,yes,12.2118
b_cell,yes,8.0188
b_cell,yes,14.3508
b_cell,yes,6.6946
b_cell,yes,11.1387
b_cell,yes,12.0726
b_cell,yes,8.5243
b_cell,yes,9.8661
b_cell,yes,6.9079
b_cell,yes,7.4165
b_cell,yes,13.3448
b_cell,yes,9.9530
b_cell,yes,9.8174
b_cell,yes,10.3132
b_cell,yes,8.1549
b_cell,yes,16.1720
b_cell,yes,7.7396
b_cell,yes,9.5558
b_cell,yes,4.5839
b_cell,yes,5.2394
b_cell,yes,10.5414
b_cell,yes,13.2334
b_cell,yes,10.7145
b_cell,yes,11.6703
b_cell,yes,9.7374
b_cell,yes,6.7342
b_cell,yes,7.9602
b_cell,yes,9.2913
b_cell,yes,8.7694
b_cell,yes,9.5703
b_cell,yes,7.0357
b_cell,yes,6.0442
b_cell,yes,6.4984
b_cell,yes,8.0192
b_cell,yes,5.7541
b_cell,yes,8.8254
b_cell,yes,12.0875
b_cell,yes,8.4652
b_cell,yes,9.0849
b_cell,yes,6.6527
b_cell,yes,7.6945
b_cell,yes,9.2334
b_cell,yes,7.4352
b_cell,yes,12.1046
b_cell,yes,11.2462
b_cell,yes,8.3940
b_cell,yes,9.7380
b_cell,yes,6.2593
b_cell,yes,3.5919
b_cell,yes,5.0963
b_cell,yes,9.7334
b_cell,yes,11.4910
b_cell,yes,12.0874
b_cell,yes,17.1783
b_cell,yes,10.5445
b_cell,yes,6.9210
b_cell,yes,7.3846
b_cell,yes,16.1987
b_cell,yes,17.6686
b_cell,yes,9.0460
b_cell,yes,7.1830
b_cell,yes,19.2846
b_cell,yes,4.7835
b_cell,yes,12.0676
b_cell,yes,14.2101
b_cell,yes,16.9573
b_cell,yes,6.5315
b_cell,yes,12.7192
b_cell,yes,14.7959
b_cell,yes,9.0260
b_cell,yes,5.5887
b_cell,yes,5.4750
b_cell,yes,7.3296
b_cell,yes,5.1422
b_cell,yes,12.1287
b_cell,yes,9.7002
b_cell,yes,8.1038
b_cell,yes,8.3576
b_cell,yes,6.4367
b_cell,yes,14.9007
b_cell,yes,7.6002
b_cell,yes,9.1408
b_cell,yes,5.4350
b_cell,yes,5.3777
b_cell,yes,11.6618
b_cell,yes,7.5262
b_cell,yes,11.6814
b_cell,yes,7.6088
b_cell,yes,7.6803
b_cell,yes,15.9350
b_cell,yes,8.9220
b_cell,yes,14.5269
b_cell,yes,6.4837
b_cell,yes,11.5054
b_cell,yes,11.2397
b_cell,yes,8.9563
b_cell,yes,12.9565
b_cell,yes,12.2677
b_cell,yes,5.6981
b_cell,yes,9.0344
b_cell,yes,4.6651
b_cell,yes,12.1127
b_cell,yes,10.6626
b_cell,yes,9.6762
b_cell,yes,9.8034
b_cell,yes,4.9252
b_cell,yes,5.7265
b_cell,yes,12.7985
b_cell,yes,7.4034
b_cell,yes,6.7496
b_cell,yes,7.3735
b_cell,yes,7.9446
b_cell,yes,11.0580
b_cell,yes,14.8420
b_cell,yes,4.9847
b_cell,yes,8.7941
b_cell,yes,8.3166
b_cell,yes,9.2605
b_cell,yes,6.2962
b_cell,yes,14.2049
b_cell,yes,8.3969
b_cell,yes,8.0373
b_cell,yes,12.0259
b_cell,yes,16.0527
b_cell,yes,6.7336
b_cell,yes,15.8082
b_cell,yes,6.0536
b_cell,yes,10.1943
b_cell,yes,6.6911
b_cell,yes,5.8712
b_cell,yes,10.7279
b_cell,yes,11.0690
b_cell,yes,12.7911
b_cell,yes,15.9986
b_cell,yes,8.7962
b_cell,yes,9.6794
b_cell,yes,6.7219
b_cell,yes,3.5053
b_cell,yes,16.0865
b_cell,yes,6.2951
b_cell,yes,11.7075
b_cell,yes,18.3677
b_cell,yes,14.0053
b_cell,yes,6.2027
b_cell,yes,9.5168
b_cell,yes,6.8880
b_cell,yes,7.5388
b_cell,yes,12.1264
b_cell,yes,13.7506
b_cell,yes,5.7061
b_cell,yes,8.2048
b_cell,yes,13.4140
b_cell,yes,9.3881
b_cell,yes,10.6561
b_cell,yes,11.9898
b_cell,yes,14.3947
b_cell,yes,11.2654
b_cell,yes,19.3988
b_cell,yes,4.6152
b_cell,yes,11.8123
b_cell,yes,7.9729
b_cell,yes,5.2852
b_cell,yes,12.9806
b_cell,yes,13.8694
b_cell,yes,9.5890
b_cell,yes,7.5329
b_cell,yes,6.4274
b_cell,yes,17.7236
b_cell,yes,11.3431
b_cell,yes,8.2924
b_cell,yes,12.8951
b_cell,yes,15.8404
b_cell,yes,11.4169
b_cell,yes,9.2251
b_cell,yes,9.6195
b_cell,yes,10.6447
b_cell,yes,9.3940
b_cell,yes,6.4002
b_cell,yes,19.5666
b_cell,yes,6.9314
b_cell,yes,8.3999
b_cell,yes,11.3477
b_cell,yes,7.8178
b_cell,yes,13.0102
b_cell,yes,12.9544
b_cell,yes,5.1948
b_cell,yes,11.3297
b_cell,yes,13.3297
b_cell,yes,13.1548
b_cell,yes,9.8566
b_cell,yes,12.9710
b_cell,yes,9.0103
b_cell,yes,7.4446
b_cell,yes,15.9794
b_cell,yes,6.5371
b_cell,yes,11.3125
b_cell,yes,9.4252
b_cell,yes,9.1913
b_cell,yes,8.3414
b_cell,yes,4.3225
b_cell,yes,7.8622
b_cell,yes,7.4039
b_cell,yes,11.3230
b_cell,yes,12.1350
b_cell,yes,9.9966
b_cell,yes,7.5444
b_cell,yes,7.7917
b_cell,yes,7.1647
b_cell,yes,8.4571
b_cell,yes,14.9315
b_cell,yes,7.3567
b_cell,yes,13.8646
b_cell,yes,13.8976
b_cell,yes,11.3212
b_cell,yes,17.8875
b_cell,yes,9.0697
b_cell,yes,13.0910
b_cell,yes,10.3770
b_cell,yes,8.0798
b_cell,yes,7.2785
b_cell,yes,12.8662
b_cell,yes,14.5874
b_cell,yes,6.9092
b_cell,yes,7.4789
b_cell,yes,11.0446
b_cell,yes,7.2195
b_cell,yes,9.1140
b_cell,yes,11.0948
b_cell,yes,6.5832
b_cell,yes,7.4213
b_cell,yes,8.8303
b_cell,yes,16.2858
b_cell,yes,5.8198
b_cell,yes,12.7338
b_cell,yes,14.3788
b_cell,yes,7.2729
b_cell,yes,5.2234
b_cell,yes,9.8744
b_cell,yes,10.4394
b_cell,yes,9.9256
b_cell,yes,15.3175
b_cell,yes,17.0515
b_cell,yes,7.4514
b_cell,yes,7.3879
b_cell,yes,14.1296
b_cell,yes,13.5689
b_cell,yes,9.4086
b_cell,yes,10.1227
b_cell,yes,12.0147
b_cell,yes,8.1883
b_cell,yes,9.1455
b_cell,yes,13.5548
b_cell,yes,8.2987
b_cell,yes,11.1957
b_cell,yes,4.4327
b_cell,yes,8.7766
b_cell,yes,11.6643
b_cell,yes,8.4358
b_cell,yes,8.8562
b_cell,yes,11.2237
b_cell,yes,10.3034
b_cell,yes,6.0675
b_cell,yes,25.1155
b_cell,yes,7.4344
b_cell,yes,7.9037
b_cell,yes,9.9027
b_cell,yes,11.0257
b_cell,yes,5.2844
b_cell,yes,8.1361
b_cell,yes,7.8848
b_cell,yes,11.9534
b_cell,yes,10.4204
b_cell,yes,9.3189
b_cell,yes,15.5736
b_cell,yes,9.4008
b_cell,yes,6.3944
b_cell,yes,7.1284
b_cell,yes,10.2425
b_cell,yes,17.9494
b_cell,yes,13.0741
b_cell,yes,9.3999
b_cell,yes,9.7541
b_cell,yes,13.7357
b_cell,yes,15.6807
b_cell,yes,7.8644
b_cell,yes,11.8827
b_cell,yes,7.2719
b_cell,yes,5.8308
b_cell,yes,3.1915
b_cell,yes,17.0769
b_cell,yes,7.6675
b_cell,yes,8.2849
b_cell,yes,9.6923
b_cell,yes,15.0235
b_cell,yes,12.7211
b_cell,yes,8.0962
b_cell,yes,12.7054
b_cell,yes,17.2755
b_cell,yes,14.4477
b_cell,yes,6.1296
b_cell,yes,8.0014
b_cell,yes,7.8004
b_cell,yes,11.5809
b_cell,yes,6.9774
b_cell,yes,9.7937
b_cell,yes,9.9954
b_cell,yes,9.6167
b_cell,yes,5.8650
b_cell,yes,13.8373
b_cell,yes,6.2913
b_cell,yes,7.0330
b_cell,yes,4.0978
b_cell,yes,10.7225
b_cell,yes,9.4462
b_cell,yes,12.9811
b_cell,yes,15.3120
b_cell,yes,7.7999
b_cell,yes,9.8869
b_cell,yes,10.7779
b_cell,yes,11.7377
b_cell,yes,7.1392
b_cell,yes,6.8760
b_cell,yes,6.6918
b_cell,yes,6.4233
b_cell,yes,15.8224
b_cell,yes,7.8640
b_cell,yes,7.0550
b_cell,yes,11.2463
b_cell,yes,8.1232
b_cell,yes,4.4142
b_cell,yes,9.5942
b_cell,yes,14.4907
b_cell,yes,14.4528
b_cell,yes,8.5933
b_cell,yes,8.6525
b_cell,yes,12.5953
b_cell,yes,9.1507
b_cell,yes,11.3265
b_cell,yes,8.4746
b_cell,yes,7.0176
b_cell,yes,6.5624
b_cell,yes,14.9705
b_cell,yes,13.7023
b_cell,yes,9.4672
b_cell,yes,9.3196
b_cell,yes,6.7334
b_cell,yes,9.9351
b_cell,yes,5.9580
b_cell,yes,5.9848
b_cell,yes,6.4028
b_cell,yes,8.0600
b_cell,yes,17.7673
b_cell,yes,8.8724
b_cell,yes,6.1463
b_cell,yes,12.4503
b_cell,yes,8.4652
b_cell,yes,6.9611
b_cell,yes,10.8724
b_cell,yes,17.7773
b_cell,yes,10.5249
b_cell,yes,6.9711
b_cell,yes,6.2207
b_cell,yes,8.2021
b_cell,yes,6.7733
b_cell,yes,13.5402
b_cell,yes,13.2194
b_cell,yes,9.0326
b_cell,yes,6.7777
b_cell,yes,9.5922
b_cell,yes,6.1328
b_cell,yes,9.5111
b_cell,yes,6.6016
b_cell,yes,6.1180
b_cell,yes,13.1585
b_cell,yes,13.3029
b_cell,yes,6.1917
b_cell,yes,9.0205
b_cell,yes,17.6452
b_cell,yes,6.8075
b_cell,yes,15.4956
b_cell,yes,4.6597
b_cell,yes,11.6774
b_cell,yes,9.4906
b_cell,yes,5.3871
b_cell,yes,12.7347
b_cell,yes,12.9383
b_cell,yes,12.6257
b_cell,yes,12.1326
b_cell,yes,7.9418
b_cell,yes,14.7432
b_cell,yes,16.3286
b_cell,yes,4.8674
b_cell,yes,9.1417
b_cell,yes,3.8376
b_cell,yes,6.7279
b_cell,yes,8.2864
b_cell,yes,15.6828
b_cell,yes,10.7911
b_cell,yes,8.6301
b_cell,yes,9.0513
b_cell,yes,12.9534
b_cell,yes,5.1248
b_cell,yes,10.2222
b_cell,yes,11.2842
b_cell,yes,10.8561
b_cell,yes,10.9293
b_cell,yes,6.7536
b_cell,yes,11.7610
b_cell,yes,13.8475
b_cell,yes,13.0726
b_cell,yes,13.0165
b_cell,yes,7.4304
b_cell,yes,10.2532
b_cell,yes,8.3385
b_cell,yes,10.0224
b_cell,yes,10.2516
b_cell,yes,8.9266
b_cell,yes,11.1454
b_cell,yes,10.5918
b_cell,yes,5.7703
b_cell,yes,9.3680
b_cell,yes,10.7775
b_cell,yes,5.4008
b_cell,yes,10.1977
b_cell,yes,10.4917
b_cell,yes,6.6888
b_cell,yes,9.2901
b_cell,yes,11.3567
b_cell,yes,14.4260
b_cell,yes,13.6689
b_cell,yes,10.9308
b_cell,yes,7.1776
b_cell,yes,9.7342
b_cell,yes,11.0314
b_cell,yes,8.9757
b_cell,yes,10.4189
b_cell,yes,8.1783
b_cell,yes,8.3335
b_cell,yes,3.2488
b_cell,yes,10.5520
b_cell,yes,5.1949
b_cell,yes,7.0543
b_cell,yes,14.3156
b_cell,yes,6.4013
b_cell,yes,5.0583
b_cell,yes,7.9140
b_cell,yes,11.6909
b_cell,yes,7.9412
b_cell,yes,9.6751
b_cell,yes,6.1143
b_cell,yes,9.4611
b_cell,yes,6.7526
b_cell,yes,7.1595
b_cell,yes,6.4548
b_cell,yes,20.1798
b_cell,yes,7.1231
b_cell,yes,6.3980
b_cell,yes,10.6991
b_cell,yes,12.5585
b_cell,yes,7.9498
b_cell,yes,6.8906
b_cell,yes,14.2720
b_cell,yes,15.2849
b_cell,yes,10.3459
b_cell,yes,8.9423
b_cell,yes,6.1450
b_cell,yes,10.0630
b_cell,yes,6.8193
b_cell,yes,7.2302
b_cell,yes,7.9906
b_cell,yes,9.7239
b_cell,yes,16.5267
b_cell,yes,12.9409
b_cell,yes,4.9064
b_cell,yes,8.9601
b_cell,yes,7.4188
b_cell,yes,7.0520
b_cell,yes,5.5142
b_cell,yes,9.6772
b_cell,yes,8.1499
b_cell,yes,5.1608
b_cell,yes,8.1801
b_cell,yes,9.0515
b_cell,yes,8.8382
b_cell,yes,6.6991
b_cell,yes,7.7327
b_cell,yes,7.0807
b_cell,yes,6.7844
b_cell,yes,14.6883
b_cell,yes,10.2143
b_cell,yes,9.7911
b_cell,yes,13.4281
b_cell,yes,10.1122
b_cell,yes,10.3338
b_cell,yes,11.9994
b_cell,yes,15.8013
b_cell,yes,12.1017
b_cell,yes,9.1233
b_cell,yes,7.3928
b_cell,yes,13.3588
b_cell,yes,7.2946
b_cell,yes,14.7527
b_cell,yes,6.8799
b_cell,yes,8.5295
b_cell,yes,10.9495
b_cell,yes,9.7804
b_cell,yes,5.6580
b_cell,yes,6.7655
b_cell,yes,10.0182
b_cell,yes,9.5177
b_cell,yes,10.3095
b_cell,yes,13.3231
b_cell,yes,6.0875
b_cell,yes,3.3577
b_cell,yes,6.7748
b_cell,yes,18.0535
b_cell,yes,7.8462
b_cell,yes,15.6498
b_cell,yes,10.6705
b_cell,yes,5.2323
b_cell,yes,12.2554
b_cell,yes,15.1360
b_cell,yes,11.6699
b_cell,yes,10.9616
b_cell,yes,9.9821
b_cell,yes,7.7398
b_cell,yes,7.4877
b_cell,yes,15.1010
b_cell,yes,14.5151
b_cell,yes,9.0161
b_cell,yes,9.0840
b_cell,yes,6.6374
b_cell,yes,6.0717
b_cell,yes,6.3112
b_cell,yes,5.2172
b_cell,yes,16.2601
b_cell,yes,7.4430
b_cell,yes,6.4220
b_cell,yes,12.6758
b_cell,yes,9.3198
b_cell,yes,9.7097
b_cell,yes,3.8881
b_cell,yes,10.1478
b_cell,yes,14.2357
b_cell,yes,6.1503
b_cell,yes,6.7170
b_cell,yes,2.8963
b_cell,yes,10.9703
b_cell,yes,9.8740
b_cell,yes,14.3563
b_cell,yes,7.0717
b_cell,yes,12.4520
b_cell,yes,5.9947
b_cell,yes,3.4942
b_cell,yes,6.7615
b_cell,yes,6.4498
b_cell,yes,11.1852
b_cell,yes,3.7087
b_cell,yes,7.6197
b_cell,yes,12.6366
b_cell,yes,10.5201
b_cell,yes,8.5301
b_cell,yes,11.9401
b_cell,yes,11.8870
b_cell,yes,3.9019
b_cell,yes,9.3370
b_cell,yes,6.3590
b_cell,yes,10.5481
b_cell,yes,12.6331
b_cell,yes,7.8445
b_cell,yes,7.2071
b_cell,yes,12.2184
b_cell,yes,12.2283
b_cell,yes,11.8659
b_cell,yes,5.7459
b_cell,yes,13.6620
b_cell,yes,7.3710
b_cell,yes,7.6411
b_cell,yes,12.8803
b_cell,yes,10.0788
b_cell,yes,12.8188
b_cell,yes,13.7680
b_cell,yes,7.0176
b_cell,yes,8.3630
b_cell,yes,11.5647
b_cell,yes,9.5555
b_cell,yes,21.7507
b_cell,yes,6.9035
b_cell,yes,9.9840
b_cell,yes,7.1045
b_cell,yes,8.4514
b_cell,yes,5.3313
b_cell,yes,7.6406
b_cell,yes,10.6783
b_cell,yes,13.8235
b_cell,yes,4.6752
b_cell,yes,7.3966
b_cell,yes,13.8660
b_cell,yes,9.2470
b_cell,yes,8.4376
b_cell,yes,7.4431
b_cell,yes,10.0244
b_cell,yes,12.5629
b_cell,yes,7.4763
b_cell,yes,11.5665
b_cell,yes,6.6282
b_cell,yes,7.1228
b_cell,yes,15.6109
b_cell,yes,7.6129
b_cell,yes,8.4047
b_cell,yes,10.3778
b_cell,yes,8.8250
b_cell,yes,10.4141
b_cell,yes,10.7374
b_cell,yes,6.1146
b_cell,yes,7.5734
b_cell,yes,19.2620
b_cell,yes,9.4977
b_cell,yes,17.9594
b_cell,yes,13.9126
b_cell,yes,6.5351
b_cell,yes,13.0068
b_cell,yes,11.1026
b_cell,yes,15.9908
b_cell,yes,8.7720
b_cell,yes,15.9613
b_cell,yes,5.2096
b_cell,yes,10.8967
b_cell,yes,11.5994
b_cell,yes,5.2145
b_cell,yes,10.4609
b_cell,yes,11.2072
b_cell,yes,7.7189
b_cell,yes,15.1355
b_cell,yes,4.6692
b_cell,yes,11.4926
b_cell,yes,7.4048
b_cell,yes,7.5544
b_cell,yes,12.3291
b_cell,yes,10.4526
b_cell,yes,8.4218
b_cell,yes,10.0406
b_cell,yes,9.0020
b_cell,yes,9.4779
b_cell,yes,12.4840
b_cell,yes,6.6373
b_cell,yes,12.4815
b_cell,yes,14.5947
b_cell,yes,7.9391
b_cell,yes,7.3717
b_cell,yes,9.3901
b_cell,yes,13.7364
b_cell,yes,11.6826
b_cell,yes,9.7361
b_cell,yes,11.5981
b_cell,yes,10.1050
b_cell,yes,11.5632
b_cell,yes,9.1074
b_cell,yes,11.6121
b_cell,yes,11.0403
b_cell,yes,12.2486
b_cell,yes,6.6234
b_cell,yes,12.9327
b_cell,yes,13.6038
b_cell,yes,8.1049
b_cell,yes,12.6881
b_cell,yes,8.9998
b_cell,yes,7.2548
b_cell,yes,11.2859
b_cell,yes,9.5439
b_cell,yes,7.4059
b_cell,yes,12.2248
b_cell,yes,10.3026
b_cell,yes,7.8013
b_cell,yes,5.4036
b_cell,yes,5.0176
b_cell,yes,8.8390
b_cell,yes,16.6412
b_cell,yes,4.5897
b_cell,yes,6.8781
b_cell,yes,10.0311
b_cell,yes,14.4190
b_cell,yes,9.7927
b_cell,yes,12.0896
b_cell,yes,8.5843
b_cell,yes,10.7029
b_cell,yes,12.2681
b_cell,yes,8.6061
b_cell,yes,5.8480
b_cell,yes,10.0920
b_cell,yes,6.2651
b_cell,yes,10.6157
b_cell,yes,10.6196
b_cell,yes,3.5372
b_cell,yes,10.9986
b_cell,yes,6.2605
b_cell,yes,18.5170
b_cell,yes,7.7554
b_cell,yes,7.2462
b_cell,yes,15.3281
b_cell,yes,13.0798
b_cell,yes,9.1145
b_cell,yes,10.3688
b_cell,no,11.7021
b_cell,no,6.7216
b_cell,no,10.5514
b_cell,no,5.9104
b_cell,no,10.5696
b_cell,no,9.7717
b_cell,no,7.9836
b_cell,no,12.2776
b_cell,no,11.8254
b_cell,no,9.3256
b_cell,no,9.9392
b_cell,no,14.2749
b_cell,no,10.2856
b_cell,no,5.8691
b_cell,no,8.2795
b_cell,no,8.4691
b_cell,no,7.9306
b_cell,no,16.6759
b_cell,no,12.1120
b_cell,no,4.9377
b_cell,no,9.2499
b_cell,no,7.5703
b_cell,no,10.5954
b_cell,no,7.5818
b_cell,no,12.4783
b_cell,no,13.7644
b_cell,no,10.6908
b_cell,no,7.7252
b_cell,no,5.4177
b_cell,no,10.9082
b_cell,no,11.7434
b_cell,no,13.3262
b_cell,no,8.9687
b_cell,no,5.0591
b_cell,no,3.5914
b_cell,no,12.9001
b_cell,no,14.0967
b_cell,no,10.2908
b_cell,no,8.8946
b_cell,no,15.5669
b_cell,no,8.3152
b_cell,no,9.2918
b_cell,no,5.9641
b_cell,no,8.8758
b_cell,no,9.1367
b_cell,no,14.2993
b_cell,no,4.7947
b_cell,no,7.5695
b_cell,no,7.1957
b_cell,no,10.9879
b_cell,no,7.6078
b_cell,no,9.8385
b_cell,no,7.2727
b_cell,no,9.9908
b_cell,no,7.7399
b_cell,no,7.7905
b_cell,no,12.6113
b_cell,no,7.0438
b_cell,no,15.9757
b_cell,no,15.7061
b_cell,no,6.0288
b_cell,no,9.1172
b_cell,no,9.4735
b_cell,no,10.4537
b_cell,no,8.0868
b_cell,no,11.3806
b_cell,no,10.6952
b_cell,no,9.3666
b_cell,no,8.1183
b_cell,no,18.1028
b_cell,no,6.4205
b_cell,no,6.3376
b_cell,no,6.8180
b_cell,no,17.7961
b_cell,no,11.6653
b_cell,no,10.0076
b_cell,no,12.1120
b_cell,no,8.5797
b_cell,no,5.6243
b_cell,no,6.2643
b_cell,no,9.7864
b_cell,no,7.6984
b_cell,no,13.4368
b_cell,no,6.6143
b_cell,no,7.6255
b_cell,no,9.8598
b_cell,no,14.4993
b_cell,no,11.3850
b_cell,no,11.3931
